uprn,lat,lon
10001306505,50.9166639,-1.3621589
10001306508,50.9112673,-1.3837111
10001306518,50.9345275,-1.3846843
10001306523,50.9385601,-1.3888296
10001306534,50.9221208,-1.3701655
10001306535,50.924397,-1.3760658
10001306545,50.9308181,-1.3637864
10001306551,50.9316618,-1.3601888
10001306585,50.9101304,-1.3880928
10001306589,50.9381087,-1.3817051
10001306597,50.9391562,-1.3641137
10001306602,50.9140552,-1.3603596
10001306639,50.9332218,-1.3843458
10001306643,50.9295653,-1.3782611
10001306644,50.9288092,-1.379808
10001306674,50.9225529,-1.3652654
10001306695,50.931787,-1.38852
10001306715,50.9125608,-1.3885588
10001306723,50.9260511,-1.3803
10001306740,50.9317516,-1.380153
10001306750,50.9269949,-1.3668553
10001306754,50.9130001,-1.3747694
10001306769,50.9237703,-1.3809279
10001306780,50.9216101,-1.3822513
10001306783,50.9116434,-1.3649871
10001306795,50.9342996,-1.3723346
10001306805,50.9331106,-1.3736599
10001306807,50.9134674,-1.3831415
10001306810,50.9363571,-1.3669983
10001306871,50.9378098,-1.3695546
10001306890,50.9296748,-1.3768793
10001306904,50.9177989,-1.3674924
10001306937,50.9371873,-1.3675278
10001306938,50.9351549,-1.3758667
10001306939,50.9167955,-1.3799109
10001306947,50.9371873,-1.3675278
10001306985,50.9395254,-1.3741998
10001307047,50.9124892,-1.3886308
10001307052,50.9167939,-1.381305
10001307081,50.9104694,-1.3824841
10001307082,50.9288381,-1.3818566
10001307132,50.9233236,-1.3797957
10001307135,50.9231743,-1.3787875
10001307136,50.9230697,-1.3794149
10001307139,50.92299,-1.3796294
10001307140,50.9229628,-1.3796013
10001307141,50.9229877,-1.3792168
10001307142,50.9229975,-1.3793589
10001307165,50.9103081,-1.3825858
10001307181,50.9308489,-1.3845621
10001307209,50.9212215,-1.3668342
10001307210,50.9307073,-1.3615965
10001307246,50.9103963,-1.3873639
10001307247,50.9109016,-1.3876986
10001307248,50.9107321,-1.3862358
10001307251,50.9380987,-1.381506
10001307252,50.9380987,-1.381506
10001307253,50.9380987,-1.381506
10001307254,50.9380987,-1.381506
10001307255,50.9380987,-1.381506
10001307256,50.9380987,-1.381506
10001307257,50.9380987,-1.381506
10001307258,50.9380987,-1.381506
10001307259,50.9380987,-1.381506
10001307260,50.9380987,-1.381506
10001307278,50.9342059,-1.3833935
10001307282,50.9238082,-1.3679089
10001307312,50.9379307,-1.3613124
10001307318,50.9228663,-1.3800578
10001307323,50.9329324,-1.3840508
10001307325,50.9156458,-1.3784752
10001307329,50.9278436,-1.3893544
10001307353,50.9251086,-1.3639357
10001307533,50.9177524,-1.385674
10001307575,50.9253549,-1.3846774
10001307576,50.9253549,-1.3846774
10001307577,50.9253549,-1.3846774
10001307704,50.9364811,-1.3834061
10001307705,50.9364811,-1.3834061
10001307706,50.9364811,-1.3834061
10001307708,50.9364811,-1.3834061
10001307709,50.9364811,-1.3834061
10001307710,50.9364811,-1.3834061
10001307711,50.9364811,-1.3834061
10001307712,50.9364811,-1.3834061
10001307713,50.9364811,-1.3834061
10001307776,50.9180943,-1.3823263
10001307777,50.9180943,-1.3823263
10001307778,50.9180943,-1.3823263
10001307779,50.9180943,-1.3823263
10001307780,50.9180943,-1.3823263
10001307781,50.9180943,-1.3823263
10001307782,50.9180943,-1.3823263
10001307783,50.9180943,-1.3823263
10001307784,50.9180943,-1.3823263
10001307785,50.9180943,-1.3823263
10001307786,50.9180943,-1.3823263
10001307787,50.9180943,-1.3823263
10001307788,50.9180943,-1.3823263
10001307789,50.9180943,-1.3823263
10001307790,50.9180943,-1.3823263
10001307791,50.9180943,-1.3823263
10001307792,50.9180747,-1.3820278
10001307793,50.9180747,-1.3820278
10001307794,50.9180747,-1.3820278
10001307795,50.9180747,-1.3820278
10001307796,50.9180747,-1.3820278
10001307797,50.9180747,-1.3820278
10001307798,50.9180747,-1.3820278
10001307799,50.9180747,-1.3820278
10001307800,50.9180747,-1.3820278
10001307801,50.9180747,-1.3820278
10001307802,50.9180747,-1.3820278
10001307803,50.9180747,-1.3820278
10001307843,50.9206348,-1.3680799
10001307858,50.9380816,-1.3799834
10001307859,50.9391149,-1.3798273
10001307860,50.9391956,-1.3797835
10001307867,50.9366691,-1.3815802
10001307870,50.9237755,-1.3852958
10001307871,50.9237572,-1.3852249
10001307881,50.9202196,-1.3778309
10001307919,50.9337499,-1.3889923
10001307920,50.9337499,-1.3889923
10001308015,50.9209399,-1.3729841
10001308016,50.9209399,-1.3729841
10001308017,50.9209399,-1.3729841
10001308018,50.9209399,-1.3729841
10001308019,50.9209399,-1.3729841
10001308020,50.9209399,-1.3729841
10001308021,50.9209399,-1.3729841
10001308022,50.9209399,-1.3729841
10001308023,50.9209399,-1.3729841
10001308025,50.9222008,-1.3716583
10001308026,50.9222008,-1.3716583
10001308027,50.9222008,-1.3716583
10001308028,50.9222008,-1.3716583
10001308029,50.9222008,-1.3716583
10001308030,50.9222008,-1.3716583
10001308031,50.9222008,-1.3716583
10001308032,50.9222008,-1.3716583
10001308033,50.9222008,-1.3716583
10001308034,50.9222008,-1.3716583
10001308035,50.9222008,-1.3716583
10001308064,50.9177456,-1.3861008
10001308065,50.9177456,-1.3861008
10001308066,50.9177456,-1.3861008
10001308067,50.9177456,-1.3861008
10001308068,50.9177456,-1.3861008
10001308069,50.9177456,-1.3861008
10001308070,50.9177456,-1.3861008
10001308071,50.9177456,-1.3861008
10001308072,50.9177456,-1.3861008
10001308075,50.9177456,-1.3861008
10001308371,50.9398562,-1.375519
10001308372,50.9398379,-1.3754481
10001308373,50.9398193,-1.3753487
10001308374,50.9398009,-1.3752636
10001308375,50.9397825,-1.3751784
10001308376,50.9397729,-1.3750789
10001308377,50.939619,-1.3748817
10001308378,50.9395651,-1.3748967
10001308379,50.9395202,-1.3749115
10001308380,50.9394754,-1.3749406
10001308381,50.9395049,-1.3754099
10001308382,50.9395497,-1.3753808
10001309289,50.9186168,-1.3824901
